"x","y","ID","Sex"
151.514218246382,-21.6635514018692,"Shark#1","Female"
149.63653871568,-19.2012360566777,"Shark#1","Female"
147.758859184979,-18.0820018088634,"Shark#1","Female"
148.69769895033,-17.8581549593006,"Shark#1","Female"
150.575378481031,-20.320470304492,"Shark#1","Female"
151.514218246382,-21.4397045523063,"Shark#1","Female"
150.105958598356,-19.6489297558034,"Shark#1","Female"
147.758859184979,-17.8581549593006,"Shark#1","Female"
146.585309478291,-15.3958396141091,"Shark#1","Female"
150.810088422369,-18.9773892071149,"Shark#1","Female"
153.157187835745,-23.2304793488092,"Shark#1","Female"
155.034867366447,-26.8120289418149,"Shark#1","Female"
155.034867366447,-31.0651190835092,"Shark#1","Female"
153.391897777083,-33.9751281278264,"Shark#1","Female"
151.279508305044,-35.9897497738921,"Shark#1","Female"
152.218348070395,-34.4228218269521,"Shark#1","Female"
151.279508305044,-36.2135966234549,"Shark#1","Female"
154.096027601096,-31.7366596321978,"Shark#1","Female"
150.810088422369,-38.0043714199578,"Shark#1","Female"
154.096027601096,-30.8412722339463,"Shark#1","Female"
155.034867366447,-25.4689478444377,"Shark#1","Female"
153.626607718421,-24.3497135966235,"Shark#1","Female"
152.68776795307,-23.454326198372,"Shark#1","Female"
151.279508305044,-20.7681640036177,"Shark#1","Female"
149.167118833005,-18.5296955079891,"Shark#1","Female"
147.524149243641,-16.0673801627977,"Shark#1","Female"
145.64646971294,-13.3812179680434,"Shark#1","Female"
148.228279067654,-10.918902622852,"Shark#1","Female"
150.810088422369,-11.1427494724148,"Shark#1","Female"
149.401828774343,-11.3665963219777,"Shark#1","Female"
151.044798363706,-11.3665963219777,"Shark#1","Female"
150.105958598356,-11.3665963219777,"Shark#1","Female"
151.044798363706,-11.3665963219777,"Shark#1","Female"
151.044798363706,-21.2158577027434,"Shark#1","Female"
150.151100375877,-20.6308615049073,"Shark#2","Female"
150.858600262661,-21.4405670665213,"Shark#2","Female"
151.424600172088,-22.2502726281352,"Shark#2","Female"
150.858600262661,-21.4405670665213,"Shark#2","Female"
149.726600443807,-20.2260087241003,"Shark#2","Female"
150.858600262661,-20.9007633587786,"Shark#2","Female"
151.990600081516,-23.1949291166848,"Shark#2","Female"
153.12259990037,-24.2745365321701,"Shark#2","Female"
153.830099787154,-24.6793893129771,"Shark#2","Female"
154.254599719224,-27.513358778626,"Shark#2","Female"
154.254599719224,-25.0842420937841,"Shark#2","Female"
157.367599221074,-30.4822791712105,"Shark#2","Female"
157.226099243717,-32.3715921483097,"Shark#2","Female"
156.094099424862,-31.2919847328244,"Shark#2","Female"
158.641099017285,-30.2123773173392,"Shark#2","Female"
160.763598677636,-27.6483097055616,"Shark#2","Female"
162.603098383275,-24.8143402399128,"Shark#2","Female"
164.159598134199,-21.0357142857143,"Shark#2","Female"
149.16060053438,-19.956106870229,"Shark#3","Female"
148.594600624953,-18.4716466739367,"Shark#3","Female"
150.151100375877,-19.8211559432933,"Shark#3","Female"
153.12259990037,-23.3298800436205,"Shark#3","Female"
154.113099741867,-25.2191930207197,"Shark#3","Female"
153.971599764511,-23.7347328244275,"Shark#3","Female"
153.12259990037,-24.1395856052345,"Shark#3","Female"
152.556599990943,-21.9803707742639,"Shark#3","Female"
154.679099651295,-24.9492911668484,"Shark#3","Female"
154.820599628651,-27.2434569247546,"Shark#3","Female"
154.254599719224,-28.7279171210469,"Shark#3","Female"
154.113099741867,-30.7521810250818,"Shark#3","Female"
153.405599855083,-32.1016902944384,"Shark#3","Female"
151.000100240018,-35.3405125408942,"Shark#3","Female"
152.698099968299,-33.451199563795,"Shark#3","Female"
152.698099968299,-33.9910032715376,"Shark#3","Female"
152.556599990943,-34.6657579062159,"Shark#3","Female"
151.849100104159,-34.8007088331516,"Shark#3","Female"
152.273600036229,-33.046346782988,"Shark#3","Female"
153.688599809797,-33.046346782988,"Shark#3","Female"
